kind,title,url
xlsx,SCM Metric Calculation Logic,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faisc/26R2_SCM_Metric_Calculation_Logic.xlsx
xlsx,SCM SCM PRC Metric Calculation Logic,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faisc/26R2_SCM_SCM_PRC_Metric_Calculation_Logic.xlsx
xlsx,CX Data Augmentation Entity Key List,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faicx/26R2_CX_Data_Augmentation_Entity_Key_List.xlsx
xlsx,ERP Data Augmentation Entity Key List,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faiar/26R2_ERP_Data_Augmentation_Entity_Key_List.xlsx
xlsx,HCM Data Augmentation Entity Key List,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faihc/26R2_HCM_Data_Augmentation_Entity_Key_List.xlsx
xlsx,SCM Data Augmentation Entity Key List,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faisc/26R2_SCM_Data_Augmentation_Entity_Key_List.xlsx
xlsx,CX Data Validation,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faicx/26R2_CX_Data_Validation.xlsx
xlsx,ERP Data Validation,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faiar/26R2_ERP_Data_Validation.xlsx
xlsx,PRJ Data Validation,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faiar/26R2_PRJ_Data_Validation.xlsx
xlsx,ERP PRC Data Validation,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faiar/26R2_ERP_PRC_Data_Validation.xlsx
xlsx,SCM Data Validation,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faisc/26R2_SCM_Data_Validation.xlsx
xlsx,CX DM FDR Tables,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faicx/26R2_CX_DM_FDR_Tables.xlsx
xlsx,CX FDR Supported Metrics,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faicx/26R2_CX_FDR_Supported_Metrics.xlsx
xlsx,ERP DM FDR Tables,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faiar/26R2_ERP_DM_FDR_Tables.xlsx
xlsx,SCM DM FDR Tables,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faisc/26R2_SCM_DM_FDR_Tables.xlsx
xlsx,SCM FDR Supported Metrics,https://docs.oracle.com/en/cloud/saas/analytics/26r2/faisc/26R2_SCM_FDR_Supported_Metrics.xlsx
